Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,PIR 2,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
string,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,string,string,float,int,int,int,int,int,int,int
Quolls,2.161,400,42.266,0,,,,,2067.942,24.37,1012.99,787,435,1222,114,,,131.168,2020,1,6,11,10,5,10
Quolls,2.341,400,42.519,0,,,,,1968.086,24.37,1012.968,749,414,1163,109,,,131.213,2020,1,6,11,12,47,10
Quolls,2.329,400,42.864,0,,,,,1680.748,24.389,1012.97,637,348,985,92,,,131.334,2020,1,6,11,20,5,10
Quolls,2.226,400,42.919,0,,,,,2112.778,24.389,1012.982,801,438,1239,117,,,131.251,2020,1,6,11,15,5,10
Quolls,1257.319,253,473,726,24.079,41.829,1012.964,2.378,69,400,1,23.392,1013,22.898,1016,,,131.761,2020,1,6,11,45,41,10
Quolls,,,,,,,,,,,,,,,,131.4289_131.4664_131.5675_131.5886_131.6095_131.6858_131.7089_131.7242_131.7264_131.4022_,,,,,,,,,
Quolls,1695.19,350,642,992,24.319,42.503,1013.013,1.971,92,400,0,23.491,992,22.798,1016,,,131.43,2020,1,6,11,25,48,10
Quolls,1447.991,294,546,840,24.29,41.969,1013.095,1.286,78,400,0,26.949,1014,23.61,1015,,,131.501,2020,1,6,11,30,5,10
Quolls,1243.133,255,470,725,24.209,42.36,1013.031,1.819,67,400,0,23.901,1015,23.41,1016,,,131.584,2020,1,6,11,35,5,10
Quolls,1210.519,249,458,707,24.209,42.073,1013.058,1.595,66,400,0,24.304,1015,23.81,1016,,,131.589,2020,1,6,11,35,23,10
Quolls,1090.638,223,412,635,24.11,41.334,1012.994,2.127,59,400,0,23.491,1015,23.31,1016,,,131.668,2020,1,6,11,40,5,10
Quolls,1202.828,241,452,693,23.799,42.134,1012.781,3.901,65,400,1,23.901,1015,25.134,1015,,,132.178,2020,1,6,12,10,41,10
Quolls,,,,,,,,,,,,,,,,131.7639_131.7661_131.7719_131.7850_131.8678_131.8717_131.7089_,,,,,,,,,
Quolls,1037.739,208,390,598,23.959,42.028,1012.898,2.923,56,400,0,23.596,1015,23.51,1016,,,131.834,2020,1,6,11,50,5,10
Quolls,1065.045,215,401,616,23.909,42.2,1012.916,2.779,57,400,0,16.189,1015,23.41,1016,,,131.872,2020,1,6,11,52,22,10
Quolls,1054.604,219,400,619,23.879,42.738,1012.821,3.568,57,400,0,23.596,1015,23.31,1015,,,131.918,2020,1,6,11,55,6,10
Quolls,1154.154,236,436,672,23.819,42.666,1012.755,4.114,62,400,0,23.696,1015,23.004,1016,,,132.001,2020,1,6,12,0,5,10
Quolls,1306.377,264,492,756,23.78,42.441,1012.851,3.317,71,400,0,23.901,992,24.016,1016,,,132.084,2020,1,6,12,5,5,10
Quolls,1104.732,219,414,633,23.59,41.463,1012.766,4.026,60,400,1,23.901,1015,23.41,1010,,,132.594,2020,1,6,12,35,41,10
Quolls,,,,,,,,,,,,,,,,132.1833_131.7661_,,,,,,,,,
Quolls,1190.103,238,447,685,23.79,42.354,1012.809,3.668,64,400,0,24,1015,23.41,1015,,,132.184,2020,1,6,12,11,4,10
Quolls,1085.065,220,409,629,23.709,41.85,1012.768,4.007,58,400,0,24.304,1015,23.204,911,,,132.251,2020,1,6,12,15,5,10
Quolls,1170.608,241,443,684,23.659,41.978,1012.727,4.349,63,400,0,23.596,1014,23.916,1015,,,132.334,2020,1,6,12,20,5,10
Quolls,1170.608,241,443,684,23.629,42.007,1012.759,4.081,64,400,0,23.696,1015,23.51,1011,,,132.418,2020,1,6,12,25,5,10
Quolls,1133.877,227,426,653,23.59,41.873,1012.797,3.768,62,400,0,16.698,1015,23.31,1015,,,132.501,2020,1,6,12,30,5,10
Quolls,809.029,160,303,463,23.549,42.155,1012.778,3.929,43,400,1,24.304,1015,24.116,1016,,,132.931,2020,1,6,12,55,53,10
Quolls,,,,,,,,,,,,,,,,132.5989_132.6906_132.7547_132.7567_132.7600_131.8717_,,,,,,,,,
Quolls,1130.178,225,424,649,23.54,41.404,1012.784,3.874,61,400,0,22.783,1015,23.204,1016,,,132.668,2020,1,6,12,40,5,10
Quolls,1117.357,220,418,638,23.53,41.689,1012.741,4.233,60,400,0,23.696,868,23.31,1016,,,132.751,2020,1,6,12,45,5,10
Quolls,1095.703,218,411,629,23.53,41.667,1012.759,4.087,59,400,0,23.901,1015,23.41,1015,,,132.755,2020,1,6,12,45,21,10
Quolls,1081.134,214,405,619,23.54,41.602,1012.744,4.212,58,400,0,21.97,1015,23.51,1015,,,132.761,2020,1,6,12,45,40,10
Quolls,1030.345,204,386,590,23.52,42.152,1012.778,3.929,55,400,0,23.801,1015,23.31,1015,,,132.835,2020,1,6,12,50,6,10
Quolls,1015.779,200,380,580,23.469,43.195,1012.602,5.396,56,400,1,24,1015,5.066,1016,,,133.292,2020,1,6,13,17,32,10
Quolls,,,,,,,,,,,,,,,,132.9344_132.9447_132.9469_133.0305_133.0808_133.0978_133.1017_133.1539_133.1558_133.1614_133.1983_133.2253_133.2275_133.2297_133.2456_133.2475_133.2500_133.2603_133.2622_133.2642_133.2672_133.2692_133.2714_133.2764_0.0000_,,,,,,,,,
Quolls,812.723,162,305,467,23.43,42.628,1012.73,4.33,43,400,0,24,1015,23.31,1014,,,133.001,2020,1,6,13,0,5,10
Quolls,915.956,179,342,521,23.399,42.813,1012.685,4.703,50,400,0,23.801,1015,23.31,1015,,,133.084,2020,1,6,13,5,5,10
Quolls,49,934,23.901,13.773,400,338,0,903.324,1016,178,516,-1,-1,-1,-1,,,133.102,2020,1,6,13,6,10,10
Quolls,854.38,169,320,489,23.379,43.715,1012.702,4.558,46,400,0,23.801,1015,23.41,927,,,133.168,2020,1,6,13,10,6,10
Quolls,943.338,188,354,542,23.37,43.251,1012.614,5.289,51,400,0,23.491,777,24.222,1016,,,133.251,2020,1,6,13,15,4,10
Quolls,836.22,165,313,478,23.27,43.296,1012.564,5.711,46,400,1,24.609,1016,25.034,1015,,,133.676,2020,1,6,13,40,37,10
Quolls,,,,,,,,,,,,,,,,133.2970_133.3117_133.6364_133.6414_133.6517_133.6542_133.6561_133.6583_133.6606_133.6625_133.6656_133.2253_,,,,,,,,,
Quolls,930.516,183,348,531,23.389,43.485,1012.606,5.356,51,400,0,23.596,1016,24.522,1016,,,133.334,2020,1,6,13,20,5,10
Quolls,930.433,181,347,528,23.35,42.257,1012.68,4.74,51,400,0,23.801,1016,24.622,1015,,,133.418,2020,1,6,13,25,5,10
Quolls,774.467,151,289,440,23.299,41.988,1012.576,5.608,42,400,0,23.801,1015,24.222,1016,,,133.501,2020,1,6,13,30,5,10
Quolls,772.564,148,287,435,23.239,42.379,1012.559,5.748,41,400,0,22.379,1015,24.622,1014,,,133.584,2020,1,6,13,35,5,10
Quolls,785.345,153,293,446,23.209,42.707,1012.541,5.897,42,400,0,23.491,1015,24.322,1016,,,133.642,2020,1,6,13,38,33,10
Quolls,725.612,144,272,416,,,,,39,400,1,24.509,1015,24.522,1016,,,134.178,2020,1,6,14,10,41,10
Quolls,,,,,,,,,,,,,,,,133.6797_133.8928_134.0492_134.0514_134.0539_134.0561_134.0656_133.6583_,,,,,,,,,
Quolls,5.256,400,44.459,0,,,,,912.453,23.209,1012.618,342,181,523,50,,,133.751,2020,1,6,13,45,5,10
Quolls,5.425,400,44.282,0,,,,,856.226,23.2,1012.598,321,170,491,47,,,133.834,2020,1,6,13,50,5,10
Quolls,718.239,140,268,408,,,,,38,400,0,24.41,1015,24.728,1016,,,133.918,2020,1,6,13,55,5,10
Quolls,729.117,142,272,414,,,,,39,400,0,6.465,1010,24.016,1016,,,134.001,2020,1,6,14,0,5,10
Quolls,5.602,400,43.689,0,,,,,721.84,23.11,1012.577,269,140,409,39,,,134.084,2020,1,6,14,5,5,10
Quolls,834.474,166,313,479,23.239,43.89,1012.459,6.58,46,400,1,24.509,1015,24.116,1016,,,134.681,2020,1,6,14,40,52,10
Quolls,,,,,,,,,,,,,,,,134.1808_133.8928_,,,,,,,,,
Quolls,848.851,166,317,483,23.09,44.25,1012.512,6.143,47,400,0,24,1015,24.116,1015,,,134.251,2020,1,6,14,15,6,10
Quolls,881.674,176,331,507,23.1,44.019,1012.474,6.455,49,400,0,23.801,999,24.222,1016,,,134.334,2020,1,6,14,20,5,10
Quolls,1117.357,220,418,638,23.139,44.22,1012.427,6.847,61,400,0,24.099,1016,24.116,1016,,,134.418,2020,1,6,14,25,5,10
Quolls,876.133,173,328,501,23.159,44.465,1012.46,6.573,48,400,0,23.696,1014,24.222,1016,,,134.584,2020,1,6,14,35,5,10
Quolls,825.448,165,310,475,23.149,44.464,1012.39,7.159,45,400,0,24,1016,24.116,1015,,,134.501,2020,1,6,14,30,5,10
Quolls,333.655,62,123,185,23.059,42.825,1012.557,5.766,17,400,1,-2.438,1013,24.622,1016,,,135.182,2020,1,6,15,10,58,10
Quolls,,,,,,,,,,,,,,,,134.6839_134.7144_134.7458_135.1247_135.1272_135.1297_135.1319_133.6583_,,,,,,,,,
Quolls,37,1015,23.491,23.71,400,257,0,689.206,1016,134,391,-1,-1,-1,-1,,,134.751,2020,1,6,14,45,5,10
Quolls,28,1012,24.509,23.51,400,205,0,549.557,1016,107,312,-1,-1,-1,-1,,,134.834,2020,1,6,14,50,5,10
Quolls,513.249,99,191,290,23.059,43.585,1012.544,5.879,27,400,0,23.491,1015,23.916,995,,,134.918,2020,1,6,14,55,5,10
Quolls,26,1015,23.491,25.234,400,185,0,498.707,1016,95,280,-1,-1,-1,-1,,,135.001,2020,1,6,15,0,5,10
Quolls,409.844,78,152,230,22.989,43.182,1012.542,5.894,21,400,0,24.099,1015,24.016,1015,,,135.084,2020,1,6,15,5,5,10
Quolls,371.735,69,137,206,22.85,43.445,1012.353,7.468,19,400,1,24.205,1015,24.522,1016,,,135.678,2020,1,6,15,40,43,10
Quolls,,,,,,,,,,,,,,,,135.4761_134.7144_,,,,,,,,,
Quolls,268.376,50,99,149,22.879,42.897,1012.577,5.601,13,400,0,24.099,1013,23.916,1016,,,135.334,2020,1,6,15,20,5,10
Quolls,282.879,52,104,156,22.93,42.923,1012.556,5.777,14,400,0,23.901,1015,0.001,1015,,,135.251,2020,1,6,15,15,5,10
Quolls,295.576,55,109,164,22.84,42.936,1012.517,6.097,15,400,0,24,1014,23.71,1016,,,135.501,2020,1,6,15,30,5,10
Quolls,364.479,67,134,201,22.809,43.407,1012.382,7.224,18,400,0,23.901,957,14.179,1016,,,135.584,2020,1,6,15,35,5,10
Quolls,291.957,55,108,163,22.85,42.882,1012.474,6.458,14,400,0,23.596,1015,23.51,1015,,,135.418,2020,1,6,15,25,5,10
Quolls,322.813,62,120,182,22.79,43.669,1012.301,7.9,17,400,1,24.304,1015,24.116,1016,,,136.178,2020,1,6,16,10,41,10
Quolls,,,,,,,,,,,,,,,,135.7800_135.8222_134.7458_,,,,,,,,,
Quolls,407.999,75,150,225,22.76,43.809,1012.278,8.092,21,400,0,23.901,1015,23.916,1016,,,135.751,2020,1,6,15,45,5,10
Quolls,426.135,79,157,236,22.75,44.689,1012.235,8.453,22,400,0,24.205,1015,23.204,1016,,,135.835,2020,1,6,15,50,6,10
Quolls,375.359,69,138,207,22.729,44.434,1012.243,8.386,19,400,0,27.247,810,23.61,1016,,,135.918,2020,1,6,15,55,5,10
Quolls,378.995,71,140,211,22.729,44.368,1012.271,8.152,20,400,0,23.696,1015,23.61,902,,,136.001,2020,1,6,16,0,5,10
Quolls,487.793,91,180,271,22.739,44.006,1012.228,8.511,26,400,0,23.596,1015,23.31,1015,,,136.084,2020,1,6,16,5,5,10
Quolls,355.415,66,131,197,22.809,43.561,1012.099,9.581,19,400,1,24.41,1016,23.71,1016,,,136.598,2020,1,6,16,35,53,10
