Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,881.674,176,331,507,0.347140039,23.1,44.019,1012.474,6.455,49,400,0,23.801,999,24.222,1016,,134.334,14.334,2020,1,6,14,20,5,10
Quolls,1117.357,220,418,638,0.344827586,23.139,44.22,1012.427,6.847,61,400,0,24.099,1016,24.116,1016,,134.418,14.418,2020,1,6,14,25,5,10
Quolls,876.133,173,328,501,0.345309381,23.159,44.465,1012.46,6.573,48,400,0,23.696,1014,24.222,1016,,134.584,14.584,2020,1,6,14,35,5,10
Quolls,825.448,165,310,475,0.347368421,23.149,44.464,1012.39,7.159,45,400,0,24,1016,24.116,1015,,134.501,14.501,2020,1,6,14,30,5,10
Quolls,333.655,62,123,185,0.335135135,23.059,42.825,1012.557,5.766,17,400,1,-2.438,1013,24.622,1016,,135.182,15.182,2020,1,6,15,10,58,10
Quolls,513.249,99,191,290,0.34137931,23.059,43.585,1012.544,5.879,27,400,0,23.491,1015,23.916,995,,134.918,14.918,2020,1,6,14,55,5,10
Quolls,409.844,78,152,230,0.339130435,22.989,43.182,1012.542,5.894,21,400,0,24.099,1015,24.016,1015,,135.084,15.084,2020,1,6,15,5,5,10
Quolls,371.735,69,137,206,0.334951456,22.85,43.445,1012.353,7.468,19,400,1,24.205,1015,24.522,1016,,135.678,15.678,2020,1,6,15,40,43,10
Quolls,268.376,50,99,149,0.33557047,22.879,42.897,1012.577,5.601,13,400,0,24.099,1013,23.916,1016,,135.334,15.334,2020,1,6,15,20,5,10
Quolls,282.879,52,104,156,0.333333333,22.93,42.923,1012.556,5.777,14,400,0,23.901,1015,0.001,1015,,135.251,15.251,2020,1,6,15,15,5,10
Quolls,295.576,55,109,164,0.335365854,22.84,42.936,1012.517,6.097,15,400,0,24,1014,23.71,1016,,135.501,15.501,2020,1,6,15,30,5,10
Quolls,364.479,67,134,201,0.333333333,22.809,43.407,1012.382,7.224,18,400,0,23.901,957,14.179,1016,,135.584,15.584,2020,1,6,15,35,5,10
Quolls,291.957,55,108,163,0.337423313,22.85,42.882,1012.474,6.458,14,400,0,23.596,1015,23.51,1015,,135.418,15.418,2020,1,6,15,25,5,10
Quolls,322.813,62,120,182,0.340659341,22.79,43.669,1012.301,7.9,17,400,1,24.304,1015,24.116,1016,,136.178,16.178,2020,1,6,16,10,41,10
Quolls,407.999,75,150,225,0.333333333,22.76,43.809,1012.278,8.092,21,400,0,23.901,1015,23.916,1016,,135.751,15.751,2020,1,6,15,45,5,10
